PerformanceID,LoanID,ReportMonth,AmountDue,AmountPaid,OutstandingBalance,DaysPastDue,DelinquencyBucket,DefaultFlag
PF00000001,L0000001,2025-06-01,53.25,50.93,375.05,0,Current,False
PF00000002,L0000001,2025-07-01,53.25,51.33,323.72,0,Current,False
PF00000003,L0000001,2025-08-01,53.25,52.99,270.73,0,Current,False
PF00000004,L0000001,2025-09-01,53.25,53.2,217.53,0,Current,False
PF00000005,L0000001,2025-10-01,53.25,50.82,166.71,0,Current,False
PF00000006,L0000001,2025-11-01,53.25,51.2,115.51,0,Current,False
PF00000007,L0000001,2025-12-01,53.25,52.55,62.96,0,Current,False
PF00000008,L0000002,2025-05-01,34.39,33.03,242.09,0,Current,False
PF00000009,L0000002,2025-06-01,34.39,34.17,207.92,0,Current,False
PF00000010,L0000002,2025-07-01,34.39,33.01,174.91,0,Current,False
PF00000011,L0000002,2025-08-01,34.39,34.23,140.68,0,Current,False
PF00000012,L0000002,2025-09-01,34.39,34.09,106.59,0,Current,False
PF00000013,L0000002,2025-10-01,34.39,33.1,73.49,0,Current,False
PF00000014,L0000002,2025-11-01,34.39,33.63,39.86,0,Current,False
PF00000015,L0000002,2025-12-01,34.39,33.47,6.39,0,Current,False
PF00000016,L0000003,2025-09-01,1.02,0.99,7.16,0,Current,False
PF00000017,L0000003,2025-10-01,1.02,0.99,6.17,0,Current,False
PF00000018,L0000003,2025-11-01,1.02,1.0,5.17,0,Current,False
PF00000019,L0000003,2025-12-01,1.02,0.59,4.58,21,1-30,False
PF00000020,L0000004,2025-09-01,67.94,65.48,478.03,0,Current,False
PF00000021,L0000004,2025-10-01,67.94,65.81,412.22,0,Current,False
PF00000022,L0000004,2025-11-01,67.94,67.63,344.59,0,Current,False
PF00000023,L0000004,2025-12-01,67.94,65.28,279.31,0,Current,False
PF00000024,L0000005,2025-04-01,3.23,3.13,22.72,0,Current,False
PF00000025,L0000005,2025-05-01,3.23,3.1,19.62,0,Current,False
PF00000026,L0000005,2025-06-01,3.23,3.1,16.52,0,Current,False
PF00000027,L0000005,2025-07-01,3.23,3.17,13.35,0,Current,False
PF00000028,L0000005,2025-08-01,3.23,3.18,10.17,0,Current,False
PF00000029,L0000005,2025-09-01,3.23,3.22,6.95,0,Current,False
PF00000030,L0000005,2025-10-01,3.23,3.13,3.82,0,Current,False
PF00000031,L0000005,2025-11-01,3.23,3.15,0.67,0,Current,False
PF00000032,L0000005,2025-12-01,3.23,1.48,0.0,11,1-30,False
PF00000033,L0000006,2025-04-01,27.84,27.42,195.28,0,Current,False
PF00000034,L0000006,2025-05-01,27.84,11.1,184.18,17,1-30,False
PF00000035,L0000006,2025-06-01,27.84,13.29,170.89,59,31-60,False
PF00000036,L0000006,2025-07-01,27.84,5.15,165.74,74,61-90,False
PF00000037,L0000006,2025-08-01,27.84,3.94,161.8,69,90+,False
PF00000038,L0000006,2025-09-01,27.84,0.0,161.8,142,90+,True
PF00000039,L0000007,2025-01-01,2.54,2.42,17.9,0,Current,False
PF00000040,L0000007,2025-02-01,2.54,2.46,15.44,0,Current,False
PF00000041,L0000007,2025-03-01,2.54,2.0,13.44,8,1-30,False
